start_time,stop_time,delay,jitter,packet_loss,throughput_rcv,throughput_sent
2023-06-23 20:40:00+00:00,2023-06-23 20:41:00+00:00,882885.022371370,506144.0449438200,0.0,14011.263392857100,14011.263392857100
2023-06-23 20:41:00+00:00,2023-06-23 20:42:00+00:00,1150387.373068430,849339.1982182630,0.0,13863.540838852100,13861.23178807950
2023-06-23 20:42:00+00:00,2023-06-23 20:43:00+00:00,1637142.804395600,1440645.4945054900,0.0,13784.21098901100,13786.50989010990
2023-06-23 20:43:00+00:00,2023-06-23 20:44:00+00:00,1947750.53539823,1787422.6666666700,0.0,13892.549889135300,13892.549889135300
2023-06-23 20:44:00+00:00,2023-06-23 20:45:00+00:00,1986582.629796840,1841704.347826090,0.0,14149.27027027030,14149.27027027030
2023-06-23 20:45:00+00:00,2023-06-23 20:46:00+00:00,1988192.984444440,1847207.6404494400,0.0,13980.057906458800,13980.057906458800
2023-06-23 20:46:00+00:00,2023-06-23 20:47:00+00:00,1964284.225663720,1789463.8580931300,0.0,13875.699115044200,13873.384955752200
2023-06-23 20:47:00+00:00,2023-06-23 20:48:00+00:00,1116529.687361420,584570.9821428570,0.0,13912.725663716800,13915.03982300890
2023-06-23 20:48:00+00:00,2023-06-23 20:49:00+00:00,1819703.046563190,568835.9375,0.0,13939.693333333300,13939.693333333300
2023-06-23 20:49:00+00:00,2023-06-23 20:50:00+00:00,2446183.354120270,478782.774049217,0.0,13953.64,13953.64
2023-06-23 20:50:00+00:00,2023-06-23 20:51:00+00:00,2663600.908482140,356645.82392776500,0.0,14019.208053691300,14019.208053691300
2023-06-23 20:51:00+00:00,2023-06-23 20:52:00+00:00,2666371.422727270,335779.04328018200,0.0,14252.639455782300,14252.639455782300
2023-06-23 20:52:00+00:00,2023-06-23 20:53:00+00:00,2647711.369469030,339568.6800894860,0.0,13892.549889135300,13890.230598669600
2023-06-23 20:53:00+00:00,2023-06-23 20:54:00+00:00,2634019.49122807,341345.9161147900,0.0,13758.628008752700,13758.218818380700
2023-06-23 20:54:00+00:00,2023-06-23 20:55:00+00:00,2556173.813186810,464157.30088495600,0.0,13789.229074889900,13791.533039647600
2023-06-23 20:55:00+00:00,2023-06-23 20:56:00+00:00,2347876.592427620,840746.0674157300,0.0,13977.72828507800,13977.72828507800
2023-06-23 20:56:00+00:00,2023-06-23 20:57:00+00:00,2334057.827433630,839683.5585585590,0.0,13875.086092715200,13872.777041942600
2023-06-23 20:57:00+00:00,2023-06-23 20:58:00+00:00,2325727.351769910,832711.0864745010,0.0,13880.32743362830,13882.641592920400
2023-06-23 20:58:00+00:00,2023-06-23 20:59:00+00:00,2319065.462389380,828668.0709534370,0.0,13850.243362831900,13850.243362831900
2023-06-23 20:59:00+00:00,2023-06-23 21:00:00+00:00,2311462.645374450,826636.6890380310,0.0,13823.788546255500,13823.788546255500
2023-06-23 21:00:00+00:00,2023-06-23 21:01:00+00:00,2301959.407982260,850401.1185682330,0.0,13922.70066518850,13918.062084257200
2023-06-23 21:01:00+00:00,2023-06-23 21:02:00+00:00,2290042.119101120,847306.3636363640,0.0,14123.355855855900,14125.711711711700
2023-06-23 21:02:00+00:00,2023-06-23 21:03:00+00:00,2184224.776785720,1037327.8651685400,0.0,13966.08017817370,13968.409799554600
2023-06-23 21:03:00+00:00,2023-06-23 21:04:00+00:00,2006562.92920354,1355820.0892857100,0.0,13871.070796460200,13873.384955752200
2023-06-23 21:04:00+00:00,2023-06-23 21:05:00+00:00,1991509.006637170,1342659.9552572700,0.0,13878.013274336300,13875.699115044200
2023-06-23 21:05:00+00:00,2023-06-23 21:06:00+00:00,1988948.002262440,1334654.6697038700,0.0,14199.095022624400,14199.095022624400
2023-06-23 21:06:00+00:00,2023-06-23 21:07:00+00:00,1978300.675,1337743.119266060,0.0,14273.145454545500,14270.768181818200
2023-06-23 21:07:00+00:00,2023-06-23 21:08:00+00:00,1958547.2105263200,1334292.9670329700,0.0,13781.912087912100,13781.912087912100
2023-06-23 21:08:00+00:00,2023-06-23 21:09:00+00:00,1934148.21460177,1334752.3489932900,0.0,13858.922737306800,13858.922737306800
2023-06-23 21:09:00+00:00,2023-06-23 21:10:00+00:00,1920626.048951050,1332626.2910798100,0.0,14622.055944055900,14622.055944055900
